Individual Highlighters,0,517,1
Ballpoint Pens,1,491,1
Correction Pens,1,491,2
Highlighters,1,491,3
Gel Pens,1,491,4
Rollerball Pens,1,491,5
Pencils,1,491,6
Individual Pens,1,491,3
Permanent Markers,2,455,1
Coloured Markers,2,455,1
Whiteboard Markers,2,455,2
Pencil Cases,2,455,3
Kids Arts and Crafts,2,455,6
Contact,2,455,6
Workbooks,2,455,6
Textas and Crayons,2,455,2
Erasers,2,455,4
Sharpeners,2,455,4
Rulers,2,455,5
Compasses,2,455,5
Mathomats and Stencils,2,455,5
Kids Stamps,2,455,3
Glue,3,419,1
Loose Pencils,3,419,2
Sketching,3,419,1
Paint,3,419,2
Visual Art Diaries,3,419,3
Folios,3,419,6
Canvases,3,419,4
Paint Brushes,3,419,4
Blue tack,3,419,2
Sticky Dots,3,419,2
Velcro,3,419,3
Sticky Tape,3,419,2
Cello Tape,3,419,2
Double Sided Tape,3,419,2
Scissors,3,419,5
Staplers and Staples,3,419,3
Hole Punches,3,419,4
Guillotines,3,419,6
Box Cutters,3,419,4
Numeracy,4,384,5
Literacy,4,384,4
Craft Kits,4,384,3
Wall Charts,4,384,4
Kids Games,4,384,3
Lunchboxes,4,384,6
Toys,4,384,6
World Globes,4,384,4
Binder Folders,4,384,3
Mugs,4,384,6
Diaries,5,348,1
To-Do Lists,5,348,1
Fashion Stationery,5,348,1
Desk Organisers,5,348,2
Exercise Books,6,312,1
Sticky Notes,6,312,5
Calculators,6,312,3
Journals,6,312,4
Notepads,6,312,2
Calculators,6,312,6
Clips & Pins,7,278,1
Rubber Stamps,7,278,3
Clipboards,7,278,6
Address Books,7,278,4
Business Books,7,278,5
Laminators,7,278,2
Binding Machines,7,278,3
Account Books,7,278,5
Diaries,8,242,2
Organisers,8,242,2
Wall Planners,8,242,6
ID Lanyards,8,242,2
Cash Boxes,8,242,5
Laptop Bags,8,242,4
Backpacks,8,242,5
Compendiums,8,242,6
Document Folders,9,207,1
Document Boxes,9,207,6
Manilla Folders,9,207,3
Suspension Files,9,207,2
Display Books,9,207,1
Report Covers,9,207,5
Box Files,9,207,6
Expanding Files,10,170,1
Desk Organisers,10,170,2
Document Trays,10,170,4
Labels,10,170,2
Archive Boxes,10,170,4
Hooks & Hardware,11,134,1
Brooms & Mops,11,134,2
Cleaning,11,134,3
Kitchenware,11,134,4
Bins & Liners,11,134,5
Safety & First Aid,11,134,6
Confectionary,11,134,1
Tea & Flour & Milo,11,134,2
Appliances,11,134,3
Drink Bottles,11,134,4
Plates & Cups,11,134,5
Ladders & Carts,11,134,6
Standard Mailing Envelopes,12,98,1
Mailman,12,98,2
Bubble Wrap,12,98,4
Mailing,12,98,4
Packaging,12,98,5
Storage Boxes,12,98,5
Packaging Tape,12,98,6
Paper Bags,13,61,5
Receipt Paper,13,61,6
Business Signs,13,61,4
Brochure Holders,13,61,1
Letter Stickers,13,61,3
Monitors,A,384,1
Laptops,B,340,2
Monitor stands,B,340,2
Camera,B,340,3
Camera Accessories,B,340,4
CDs,C,295,4
CD Cases,C,295,5
Computer Software,C,295,6
Phone Cases,C,295,2
SD Cards,C,295,2
USB Drives,C,295,1
Hard Drives (HDD),C,295,3
Smart Home Technology,C,295,6
Battery Banks,D,252,2
Phone Cables,D,252,3
Phone Accessories,D,252,3
Tablet Cables,D,252,4
Tablet Accessories,D,252,7
Tablet Cases,D,252,1
Charge Cables and Adaptors,D,252,7
Display Cables (HDMI Displayport DVI VGA),D,252,5
Ethernet Cables,D,253,7
Earphones,E,208,3
Headphones,E,208,2
Speakers,E,208,7
Audio,E,208,4
Fitbit,E,208,5
Garmin,E,208,5
Smart Watches,E,208,5
Bluetooth Speakers,E,208,1
Modems,E,208,5
Routers,E,208,6
Inkjet Printers,F,163,3
Computer Accessories,F,163,5
Keyboards,F,163,1
Mice,F,163,3
Mousepads,F,163,4
Power Boards,F,163,6
Epson Printers,F,163,2
HP Printers,F,163,1
Canon Printers,F,163,3
Laser Printers,G,120,1
Labellers,H,75,1
Label Refils,H,75,2
Shredders,H,75,3
Paper,Left Wall,38,1
Crafty/Coloured Envelopes,Left Wall,38,2
Fashion/Crafty Paper,Left Wall,38,3
Design Paper,Left Wall,38,4
X Folders,Left Wall,38,5
X Notepads,Left Wall,38,6
X Desk Organisers,Left Wall,38,7
Binders,Left Wall,38,8
Coloured Tab Dividers,Left Wall,38,9
Plastic Pockets,Left Wall,38,10
Whiteboards,Rear Wall,41,9
Cork Boards,Rear Wall,41,9
Chalk Boards,Rear Wall,41,8
Glassboards,Rear Wall,41,8
Desk Lamps,Rear Wall,41,3
Clocks,Rear Wall,41,2
Storage Containers,Rear Wall,41,4
Frames,Rear Wall,41,1
Small Chairs/Fold-up Chairs,Rear Wall,41,5
Landline Telephones,Right Wall,487,3
Toners and Cartridges,Right Wall,487,3
Albums,Right Wall,487,2
Photo Products,Right Wall,487,2
Drums,Right Wall,487,1
Desks,Furniture,61,1
Chairs,Furniture,61,1
